FRET Efficiency,Stoichiometry,Proximity Ratio,Stoichiometry (raw),Lifetime D [ns],Lifetime A [ns],Anisotropy D,Anisotropy A,|TDX-TAA| Filter,ALEX 2CDE Filter,|TDD-TDA| Filter,FRET 2CDE Filter,Duration [ms],Mean Macrotime [s],Number of Photons,Count rate [kHz],Count rate (DD) [kHz],Count rate (DA) [kHz],Count rate (AA) [kHz],Count rate (DD par) [kHz],Count rate (DD perp) [kHz],Count rate (DA par) [kHz],Count rate (DA perp) [kHz],Count rate (AA par) [kHz],Count rate (AA perp) [kHz],Number of Photons (DD),Number of Photons (DA),Number of Photons (AA),Number of Photons (DD par),Number of Photons (DD perp),Number of Photons (DA par),Number of Photons (DA perp),Number of Photons (AA par),Number of Photons (AA perp),log(FD/FA),M1-M2,Number of Photons (DX),Count rate (DX) [kHz],Distance (from intensity) [A],FRET efficiency (from lifetime),Distance (from lifetime) [A],FRET efficiency (sens. Acc. Em.)
0.20603,0.59773,0.19545,0.67073,0,0,-0.17869,0.15198,0.089044,3.5109,0.11268,9.1885,3.036,116.69,328,108.04,59.305,18.135,38.232,26.528,36.238,21.089,7.1696,27.147,13.337,177,43,108,69,108,26,17,76,32,1.349,0.79397,220,72.464,87.649,1,0,0.18464
0.11665,0.5256,0.13725,0.61261,0,0,-0.097858,0.16918,0.11225,4.7649,0.018056,8.7123,3.4664,117.72,333,96.064,50.773,9.4784,39.599,23.367,28.87,8.9646,4.4924,29.494,11.382,176,28,129,81,95,15,13,92,37,2.0245,0.88335,204,58.85,98.093,1,0,0.077951
0.10354,0.69422,0.1129,0.75957,0,0,-0.12422,0.20503,0.19521,6.2205,0.23475,9.6966,6.393,120.47,653,102.14,68.826,10.081,27.397,32.428,38.636,6.0418,4.6804,20.068,9.8011,440,56,157,193,247,30,26,115,42,2.1585,0.89646,496,77.585,100.31,1,0,0.14178
0.09582,0.64907,0.10982,0.7218,0,0,-0.16575,0.16775,0.66234,7.0702,0.56841,10.282,8.9013,120.49,1312,147.39,95.57,12.402,42.211,38.8,57.28,8.5863,4.3024,30.068,14.174,843,104,365,339,504,72,32,260,105,2.2446,0.90418,947,106.39,101.76,1,0,0.10689
0.70528,0.58778,0.63536,0.6263,0,0,-0.23774,0.13515,0.058331,7.1955,0.12261,19.853,3.8959,123.92,289,74.181,17.188,29.656,29.041,5.7473,12.17,16.504,15.031,20.167,10.398,66,115,108,22,44,64,51,75,33,-0.87256,0.29472,181,46.459,60.526,1,0,0.60656
0.11578,0.67247,0.12245,0.74055,0,0,-0.11194,0.31762,0.024133,3.9293,0.10872,11.125,2.7101,134.68,397,146.49,104.7,14.117,39.675,49.628,58.722,8.2585,9.3394,34.219,9.7122,258,36,103,116,142,18,18,81,22,2.0331,0.88422,294,108.48,98.233,1,0,0.14337
0.68331,0.56528,0.61688,0.6063,0,0,-0.24903,0.062506,0.011648,5.3351,0.07202,9.2219,2.4974,135.26,254,101.7,23.624,44.288,46.223,15.638,16.016,23.776,22.51,31.208,16.579,59,95,100,19,40,51,44,65,35,-0.769,0.31669,154,61.664,61.579,1,0,0.53592
0.14824,0.70681,0.14474,0.76768,0,0,-0.16764,0.13663,0.16889,9.4516,0.0027165,8.7337,3.2418,138.56,297,91.615,60.767,11.439,21.533,24.307,37.627,8.1196,5.546,15.68,6.672,195,33,69,78,117,17,16,48,21,1.7485,0.85176,228,70.33,93.683,1,0,0.21554
0.10051,0.5483,0.12558,0.63609,0,0,-0.11852,0.074033,0.08652,9.3494,0.2468,11.336,6.024,142.11,338,56.109,31.209,4.734,20.707,13.778,17.55,2.9807,2.4916,13.954,7.2756,188,27,123,83,105,17,10,81,42,2.1915,0.89949,215,35.691,100.86,1,0,0.073589
0.10964,0.59919,0.12598,0.67914,0,0,-0.098024,0.035153,0.21711,9.3566,0.16373,12,2.7015,144.48,187,69.222,41.089,8.8196,23.607,18.879,25.497,5.9871,3.3113,16.103,8.656,111,16,60,51,60,10,6,38,22,2.0944,0.89036,127,47.012,99.242,1,0,0.09886
